DISTRITO_NORM,PROVINCIA_NORM,ANIO,MES,ESTRATO,PRODUCCION
ALTO SELVA ALEGRE,AREQUIPA,2021,1,PEQUEÑO PRODUCTOR MINERO,5200.0
ALTO SELVA ALEGRE,AREQUIPA,2021,2,PEQUEÑO PRODUCTOR MINERO,200.0
ALTO SELVA ALEGRE,AREQUIPA,2021,3,PEQUEÑO PRODUCTOR MINERO,6000.0
ALTO SELVA ALEGRE,AREQUIPA,2021,4,PEQUEÑO PRODUCTOR MINERO,1800.0
ALTO SELVA ALEGRE,AREQUIPA,2021,5,PEQUEÑO PRODUCTOR MINERO,3700.0
ALTO SELVA ALEGRE,AREQUIPA,2021,6,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2021,7,PEQUEÑO PRODUCTOR MINERO,1600.0
ALTO SELVA ALEGRE,AREQUIPA,2021,8,PEQUEÑO PRODUCTOR MINERO,700.0
ALTO SELVA ALEGRE,AREQUIPA,2021,9,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2021,10,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2021,11,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2021,12,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2022,1,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2022,2,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2022,3,PEQUEÑO PRODUCTOR MINERO,154.0
ALTO SELVA ALEGRE,AREQUIPA,2022,4,PEQUEÑO PRODUCTOR MINERO,50.0
ALTO SELVA ALEGRE,AREQUIPA,2022,5,PEQUEÑO PRODUCTOR MINERO,650.0
ALTO SELVA ALEGRE,AREQUIPA,2022,6,PEQUEÑO PRODUCTOR MINERO,400.0
ALTO SELVA ALEGRE,AREQUIPA,2022,7,PEQUEÑO PRODUCTOR MINERO,900.0
ALTO SELVA ALEGRE,AREQUIPA,2022,8,PEQUEÑO PRODUCTOR MINERO,1800.0
ALTO SELVA ALEGRE,AREQUIPA,2022,9,PEQUEÑO PRODUCTOR MINERO,80.0
ALTO SELVA ALEGRE,AREQUIPA,2022,10,PEQUEÑO PRODUCTOR MINERO,1300.0
ALTO SELVA ALEGRE,AREQUIPA,2022,11,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2022,12,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2023,1,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2023,2,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2023,3,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2023,4,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2023,5,PEQUEÑO PRODUCTOR MINERO,5500.0
ALTO SELVA ALEGRE,AREQUIPA,2023,6,PEQUEÑO PRODUCTOR MINERO,6500.0
ALTO SELVA ALEGRE,AREQUIPA,2023,7,PEQUEÑO PRODUCTOR MINERO,6500.0
ALTO SELVA ALEGRE,AREQUIPA,2023,8,PEQUEÑO PRODUCTOR MINERO,6500.0
ALTO SELVA ALEGRE,AREQUIPA,2023,9,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2023,10,PEQUEÑO PRODUCTOR MINERO,13000.0
ALTO SELVA ALEGRE,AREQUIPA,2023,11,PEQUEÑO PRODUCTOR MINERO,9200.0
ALTO SELVA ALEGRE,AREQUIPA,2023,12,PEQUEÑO PRODUCTOR MINERO,1400.0
ALTO SELVA ALEGRE,AREQUIPA,2024,1,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2024,2,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2024,3,PEQUEÑO PRODUCTOR MINERO,700.0
ALTO SELVA ALEGRE,AREQUIPA,2024,4,PEQUEÑO PRODUCTOR MINERO,3100.0
ALTO SELVA ALEGRE,AREQUIPA,2024,5,PEQUEÑO PRODUCTOR MINERO,160.0
ALTO SELVA ALEGRE,AREQUIPA,2024,6,PEQUEÑO PRODUCTOR MINERO,2000.0
ALTO SELVA ALEGRE,AREQUIPA,2024,7,PEQUEÑO PRODUCTOR MINERO,650.0
ALTO SELVA ALEGRE,AREQUIPA,2024,8,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2024,9,PEQUEÑO PRODUCTOR MINERO,40.0
ALTO SELVA ALEGRE,AREQUIPA,2024,10,PEQUEÑO PRODUCTOR MINERO,850.0
ALTO SELVA ALEGRE,AREQUIPA,2024,11,PEQUEÑO PRODUCTOR MINERO,800.0
ALTO SELVA ALEGRE,AREQUIPA,2024,12,PEQUEÑO PRODUCTOR MINERO,1700.0
CALLALLI,CAYLLOMA,2021,1,RÉGIMEN GENERAL,28320.0
CALLALLI,CAYLLOMA,2021,2,RÉGIMEN GENERAL,22410.0
CALLALLI,CAYLLOMA,2021,3,RÉGIMEN GENERAL,21720.0
CALLALLI,CAYLLOMA,2021,4,RÉGIMEN GENERAL,19560.0
