DISTRITO_NORM,PROVINCIA_NORM,ANIO,MES,ira_no_neumonia,neumonias_men5,neumonias_60mas,hospitalizados_men5,hospitalizados_60mas,defunciones_men5,defunciones_60mas,TOTAL_CASOS,POBLACION,TASA_INCIDENCIA
ACARI,CARAVELI,2021,1,14,0,1,0,1,0,0,15,,
ACARI,CARAVELI,2021,2,13,0,0,0,0,0,0,13,,
ACARI,CARAVELI,2021,3,8,0,0,0,0,0,0,8,,
ACARI,CARAVELI,2021,4,8,0,2,0,0,0,0,10,,
ACARI,CARAVELI,2021,5,6,0,0,0,0,0,0,6,,
ACARI,CARAVELI,2021,6,7,0,0,0,0,0,0,7,,
ACARI,CARAVELI,2021,7,11,0,0,0,0,0,0,11,,
ACARI,CARAVELI,2021,8,5,0,0,0,0,0,0,5,,
ACARI,CARAVELI,2021,9,23,0,0,0,0,0,0,23,,
ACARI,CARAVELI,2021,10,12,0,0,0,0,0,0,12,,
ACARI,CARAVELI,2021,11,25,0,0,0,0,0,0,25,,
ACARI,CARAVELI,2021,12,78,0,0,0,0,0,0,78,,
ACARI,CARAVELI,2022,1,72,0,0,0,0,0,0,72,,
ACARI,CARAVELI,2022,2,39,0,0,0,0,0,0,39,,
ACARI,CARAVELI,2022,3,53,0,0,0,0,0,0,53,,
ACARI,CARAVELI,2022,4,77,0,0,0,0,0,0,77,,
ACARI,CARAVELI,2022,5,61,0,0,0,0,0,0,61,,
ACARI,CARAVELI,2022,6,88,0,0,0,0,0,0,88,,
ACARI,CARAVELI,2022,7,95,0,0,0,0,0,0,95,,
ACARI,CARAVELI,2022,8,63,0,1,0,0,0,0,64,,
ACARI,CARAVELI,2022,9,45,0,0,0,0,0,0,45,,
ACARI,CARAVELI,2022,10,57,1,2,0,0,0,0,60,,
ACARI,CARAVELI,2022,11,57,0,0,0,0,0,0,57,,
ACARI,CARAVELI,2022,12,119,0,1,0,1,0,1,120,,
ACARI,CARAVELI,2023,1,35,0,0,0,0,0,0,35,,
ACARI,CARAVELI,2023,2,22,0,0,0,0,0,0,22,,
ACARI,CARAVELI,2023,3,40,0,0,0,0,0,0,40,,
ACARI,CARAVELI,2023,4,74,0,0,0,0,0,0,74,,
ACARI,CARAVELI,2023,5,62,0,0,0,0,0,0,62,,
ACARI,CARAVELI,2023,6,65,0,0,0,0,0,0,65,,
ACARI,CARAVELI,2023,7,83,0,0,0,0,0,0,83,,
ACARI,CARAVELI,2023,8,73,0,3,0,0,0,0,76,,
ACARI,CARAVELI,2023,9,76,0,0,0,0,0,0,76,,
ACARI,CARAVELI,2023,10,70,1,5,0,1,0,0,76,,
ACARI,CARAVELI,2023,11,64,0,1,0,0,0,0,65,,
ACARI,CARAVELI,2023,12,163,0,1,0,1,0,0,164,,
ACHOMA,CAYLLOMA,2021,1,3,0,0,0,0,0,0,3,817.0,3.6719706242350063
ACHOMA,CAYLLOMA,2021,2,4,0,0,0,0,0,0,4,817.0,4.8959608323133414
ACHOMA,CAYLLOMA,2021,3,4,0,0,0,0,0,0,4,817.0,4.8959608323133414
ACHOMA,CAYLLOMA,2021,4,3,0,0,0,0,0,0,3,817.0,3.6719706242350063
ACHOMA,CAYLLOMA,2021,5,6,0,0,0,0,0,0,6,817.0,7.343941248470013
ACHOMA,CAYLLOMA,2021,6,5,0,0,0,0,0,0,5,817.0,6.119951040391677
ACHOMA,CAYLLOMA,2021,7,3,0,0,0,0,0,0,3,817.0,3.6719706242350063
ACHOMA,CAYLLOMA,2021,8,11,0,0,0,0,0,0,11,817.0,13.46389228886169
ACHOMA,CAYLLOMA,2021,9,8,0,0,0,0,0,0,8,817.0,9.791921664626683
ACHOMA,CAYLLOMA,2021,10,8,0,0,0,0,0,0,8,817.0,9.791921664626683
ACHOMA,CAYLLOMA,2021,11,6,0,0,0,0,0,0,6,817.0,7.343941248470013
ACHOMA,CAYLLOMA,2021,12,21,0,0,0,0,0,0,21,817.0,25.703794369645042
ACHOMA,CAYLLOMA,2022,1,14,0,0,0,0,0,0,14,815.0,17.177914110429448
ACHOMA,CAYLLOMA,2022,2,5,0,0,0,0,0,0,5,815.0,6.134969325153374
ACHOMA,CAYLLOMA,2022,3,3,0,0,0,0,0,0,3,815.0,3.6809815950920246
ACHOMA,CAYLLOMA,2022,4,18,0,0,0,0,0,0,18,815.0,22.085889570552148
ACHOMA,CAYLLOMA,2022,5,18,0,0,0,0,0,0,18,815.0,22.085889570552148
ACHOMA,CAYLLOMA,2022,6,21,0,0,0,0,0,0,21,815.0,25.766871165644172
ACHOMA,CAYLLOMA,2022,7,17,0,0,0,0,0,0,17,815.0,20.858895705521473
ACHOMA,CAYLLOMA,2022,8,23,0,0,0,0,0,0,23,815.0,28.220858895705522
ACHOMA,CAYLLOMA,2022,9,13,0,0,0,0,0,0,13,815.0,15.950920245398775
ACHOMA,CAYLLOMA,2022,10,14,0,0,0,0,0,0,14,815.0,17.177914110429448
ACHOMA,CAYLLOMA,2022,11,6,0,0,0,0,0,0,6,815.0,7.361963190184049
ACHOMA,CAYLLOMA,2022,12,19,0,1,0,1,0,1,20,815.0,24.539877300613497
ACHOMA,CAYLLOMA,2023,1,12,0,0,0,0,0,0,12,812.0,14.778325123152708
ACHOMA,CAYLLOMA,2023,2,8,0,0,0,0,0,0,8,812.0,9.852216748768473
ACHOMA,CAYLLOMA,2023,3,12,0,0,0,0,0,0,12,812.0,14.778325123152708
ACHOMA,CAYLLOMA,2023,4,20,0,0,0,0,0,0,20,812.0,24.630541871921185
ACHOMA,CAYLLOMA,2023,5,20,0,0,0,0,0,0,20,812.0,24.630541871921185
ACHOMA,CAYLLOMA,2023,6,23,0,1,0,1,0,0,24,812.0,29.556650246305416
ACHOMA,CAYLLOMA,2023,7,8,0,1,0,1,0,0,9,812.0,11.083743842364532
ACHOMA,CAYLLOMA,2023,8,17,0,0,0,0,0,0,17,812.0,20.935960591133004
ACHOMA,CAYLLOMA,2023,9,12,0,0,0,0,0,0,12,812.0,14.778325123152708
ACHOMA,CAYLLOMA,2023,10,10,0,0,0,0,0,0,10,812.0,12.315270935960593
ACHOMA,CAYLLOMA,2023,11,17,0,0,0,0,0,0,17,812.0,20.935960591133004
ACHOMA,CAYLLOMA,2023,12,27,0,0,0,0,0,0,27,812.0,33.251231527093594
ALCA,LA UNION,2021,1,5,0,0,0,0,0,0,5,1831.0,2.7307482250136537
ALCA,LA UNION,2021,2,4,0,0,0,0,0,0,4,1831.0,2.1845985800109227
ALCA,LA UNION,2021,3,3,0,0,0,0,0,0,3,1831.0,1.638448935008192
ALCA,LA UNION,2021,4,6,0,0,0,0,0,0,6,1831.0,3.276897870016384
ALCA,LA UNION,2021,5,6,0,0,0,0,0,0,6,1831.0,3.276897870016384
ALCA,LA UNION,2021,6,2,0,1,0,0,0,0,3,1831.0,1.638448935008192
ALCA,LA UNION,2021,7,2,0,0,0,0,0,0,2,1831.0,1.0922992900054613
ALCA,LA UNION,2021,8,12,0,0,0,0,0,0,12,1831.0,6.553795740032768
ALCA,LA UNION,2021,9,11,0,0,0,0,0,0,11,1831.0,6.007646095030037
ALCA,LA UNION,2021,10,25,0,0,0,0,0,0,25,1831.0,13.653741125068269
ALCA,LA UNION,2021,11,12,0,1,0,0,0,0,13,1831.0,7.0999453850355
ALCA,LA UNION,2021,12,55,1,0,0,0,0,0,56,1831.0,30.584380120152925
ALCA,LA UNION,2022,1,22,1,0,0,0,0,0,23,1813.0,12.686155543298401
ALCA,LA UNION,2022,2,12,0,0,0,0,0,0,12,1813.0,6.618863761720904
ALCA,LA UNION,2022,3,18,0,0,0,0,0,0,18,1813.0,9.928295642581356
ALCA,LA UNION,2022,4,11,0,0,0,0,0,0,11,1813.0,6.067291781577496
ALCA,LA UNION,2022,5,33,0,0,0,0,0,0,33,1813.0,18.20187534473249
ALCA,LA UNION,2022,6,33,0,0,0,0,0,0,33,1813.0,18.20187534473249
ALCA,LA UNION,2022,7,38,0,0,0,0,0,0,38,1813.0,20.959735245449533
ALCA,LA UNION,2022,8,24,0,0,0,0,0,0,24,1813.0,13.237727523441809
ALCA,LA UNION,2022,9,28,0,0,0,0,0,0,28,1813.0,15.444015444015445
ALCA,LA UNION,2022,10,27,0,0,0,0,0,0,27,1813.0,14.892443463872034
ALCA,LA UNION,2022,11,31,0,0,0,0,0,0,31,1813.0,17.098731384445667
ALCA,LA UNION,2022,12,41,1,1,0,0,0,0,43,1813.0,23.717595146166577
