DISTRITO_NORM,PROVINCIA_NORM,ANIO,MES,ira_no_neumonia,neumonias_men5,neumonias_60mas,hospitalizados_men5,hospitalizados_60mas,defunciones_men5,defunciones_60mas,TOTAL_CASOS,POBLACION,TASA_INCIDENCIA,ESTRATO,PRODUCCION
ACARI,CARAVELI,2021,1,14.0,0.0,1.0,0.0,1.0,0.0,0.0,15.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2021,2,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2021,3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2021,4,8.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2021,5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2021,6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2021,7,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2021,8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2021,9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2021,10,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2021,11,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2021,12,78.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2022,1,72.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2022,2,39.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2022,3,53.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2022,4,77.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2022,5,61.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2022,6,88.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2022,7,95.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2022,8,63.0,0.0,1.0,0.0,0.0,0.0,0.0,64.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2022,9,45.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2022,10,57.0,1.0,2.0,0.0,0.0,0.0,0.0,60.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2022,11,57.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2022,12,119.0,0.0,1.0,0.0,1.0,0.0,1.0,120.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2023,1,35.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2023,2,22.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2023,3,40.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2023,4,74.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2023,5,62.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2023,6,65.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2023,7,83.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2023,8,73.0,0.0,3.0,0.0,0.0,0.0,0.0,76.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2023,9,76.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2023,10,70.0,1.0,5.0,0.0,1.0,0.0,0.0,76.0,,,NO MINERIA,0.0
ACARI,CARAVELI,2023,11,64.0,0.0,1.0,0.0,0.0,0.0,0.0,65.0,,,NO MINERIA,0.0
